0.0000000000	0.0135136000	-9.1560000000	0.0000584000	-149.9800000000	3.7577680000
0.0000000000	0.0135117000	-9.1620000000	0.0000577000	-151.6700000000	3.7578780000
0.0000000000	0.0135136000	-9.1500000000	0.0000572500	-148.7400000000	3.7579630000
0.0000000000	0.0135127000	-9.1440000000	0.0000573000	-149.9300000000	3.7579790000
0.0000000000	0.0135108000	-9.1380000000	0.0000584000	-148.6800000000	3.7579100000
0.0000000000	0.0135127000	-9.1320000000	0.0000590000	-149.6900000000	3.7578170000
0.0000000000	0.0135127000	-9.1440000000	0.0000573500	-147.4500000000	3.7577470000
0.0000000000	0.0135117000	-9.1320000000	0.0000585000	-150.6900000000	3.7576650000
0.0000000000	0.0135127000	-9.1440000000	0.0000576000	-151.1200000000	3.7575690000
0.0000000000	0.0135098000	-9.1380000000	0.0000590000	-150.4200000000	3.7574860000
1.0000000000	0.0134783000	-9.1680000000	0.0000573000	-149.2400000000	3.4495040000
1.0000000000	0.0134802000	-9.1680000000	0.0000586000	-150.3100000000	3.4495790000
1.0000000000	0.0134831000	-9.1380000000	0.0000575500	-150.3500000000	3.4495870000
1.0000000000	0.0134783000	-9.1500000000	0.0000570000	-149.3800000000	3.4496180000
1.0000000000	0.0134831000	-9.1680000000	0.0000578000	-150.4200000000	3.4495610000
1.0000000000	0.0134831000	-9.1320000000	0.0000585500	-148.5900000000	3.4494050000
1.0000000000	0.0134793000	-9.1260000000	0.0000589500	-149.8500000000	3.4494020000
1.0000000000	0.0134755000	-9.1260000000	0.0000576500	-149.3000000000	3.4493980000
1.0000000000	0.0134783000	-9.1320000000	0.0000575500	-149.9700000000	3.4493950000
1.0000000000	0.0134841000	-9.1380000000	0.0000588500	-148.6000000000	3.4494660000
2.0000000000	0.0134097000	-9.1560000000	0.0000558500	-148.8800000000	3.2761180000
2.0000000000	0.0134097000	-9.1500000000	0.0000572500	-150.7400000000	3.2760430000
2.0000000000	0.0134116000	-9.1560000000	0.0000582000	-149.0800000000	3.2759080000
2.0000000000	0.0134116000	-9.1500000000	0.0000573000	-149.6300000000	3.2758660000
2.0000000000	0.0134116000	-9.1500000000	0.0000567500	-150.1500000000	3.2758770000
2.0000000000	0.0134106000	-9.1440000000	0.0000581500	-149.7200000000	3.2757580000
2.0000000000	0.0134125000	-9.1380000000	0.0000584500	-149.3200000000	3.2755020000
2.0000000000	0.0134144000	-9.1500000000	0.0000576500	-148.6000000000	3.2752910000
2.0000000000	0.0134144000	-9.1380000000	0.0000588500	-150.2500000000	3.2752050000
2.0000000000	0.0134135000	-9.1380000000	0.0000581500	-150.9100000000	3.2750160000
3.0000000000	0.0133391000	-9.1140000000	0.0000572000	-151.0700000000	3.2490150000
3.0000000000	0.0133362000	-9.1260000000	0.0000578500	-150.5100000000	3.2488300000
3.0000000000	0.0133334000	-9.1320000000	0.0000565000	-150.4100000000	3.2487700000
3.0000000000	0.0133362000	-9.1320000000	0.0000583000	-150.0100000000	3.2487310000
3.0000000000	0.0133362000	-9.1440000000	0.0000574000	-150.5500000000	3.2485170000
3.0000000000	0.0133353000	-9.1260000000	0.0000582000	-149.0600000000	3.2483510000
3.0000000000	0.0133381000	-9.1380000000	0.0000577000	-150.4300000000	3.2482450000
3.0000000000	0.0133362000	-9.1500000000	0.0000565000	-149.6700000000	3.2481710000
3.0000000000	0.0133429000	-9.1440000000	0.0000579500	-150.4200000000	3.2480240000
3.0000000000	0.0133439000	-9.1380000000	0.0000576500	-149.7900000000	3.2478220000
4.0000000000	0.0132676000	-9.1320000000	0.0000562500	-149.3300000000	3.2517410000
4.0000000000	0.0132666000	-9.1260000000	0.0000567500	-150.2800000000	3.2518410000
4.0000000000	0.0132676000	-9.1320000000	0.0000576500	-149.7300000000	3.2517680000
4.0000000000	0.0132657000	-9.1320000000	0.0000580500	-148.9000000000	3.2517530000
4.0000000000	0.0132657000	-9.1440000000	0.0000578500	-150.7100000000	3.2515450000
4.0000000000	0.0132647000	-9.1440000000	0.0000576500	-149.3600000000	3.2512760000
4.0000000000	0.0132647000	-9.1260000000	0.0000574000	-149.8700000000	3.2510660000
4.0000000000	0.0132657000	-9.1380000000	0.0000558000	-151.0400000000	3.2508790000
4.0000000000	0.0132657000	-9.1260000000	0.0000574500	-149.2400000000	3.2507740000
4.0000000000	0.0132676000	-9.1320000000	0.0000569500	-151.2200000000	3.2505690000
5.0000000000	0.0132065000	-9.1140000000	0.0000572000	-149.5000000000	3.2534030000
5.0000000000	0.0132056000	-9.0960000000	0.0000567000	-149.6100000000	3.2533460000
5.0000000000	0.0132065000	-9.1080000000	0.0000552500	-151.4900000000	3.2531810000
5.0000000000	0.0132037000	-9.1140000000	0.0000576000	-152.1200000000	3.2531640000
5.0000000000	0.0132027000	-9.0960000000	0.0000546000	-148.8500000000	3.2530310000
5.0000000000	0.0132018000	-9.1140000000	0.0000571500	-150.2700000000	3.2530760000
5.0000000000	0.0132018000	-9.1080000000	0.0000577500	-150.4600000000	3.2531040000
5.0000000000	0.0132037000	-9.1140000000	0.0000564500	-151.0400000000	3.2529680000
5.0000000000	0.0132018000	-9.1260000000	0.0000551500	-151.3600000000	3.2527760000
5.0000000000	0.0132037000	-9.1140000000	0.0000552500	-151.0000000000	3.2526600000
6.0000000000	0.0131455000	-9.1020000000	0.0000551000	-149.1800000000	3.2479200000
6.0000000000	0.0131436000	-9.0960000000	0.0000569000	-150.5100000000	3.2478430000
6.0000000000	0.0131465000	-9.0960000000	0.0000574000	-150.1700000000	3.2478450000
